trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
620,False,"{'a': 0.1, 'e': 0.04470026135116646}",20,10,19.000569835498485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.1, 'e': 0.04447676004441063}",20,5,17.101884649551575,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.1, 'e': 0.04425437624418858}",30,18,24.759767209595736,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.1, 'e': 0.04403310436296763}",20,8,19.84358347208469,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.1, 'e': 0.043812938841152796}",20,11,15.386857688052617,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.1, 'e': 0.04359387414694703}",25,17,16.670481117609178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.1, 'e': 0.043375904776212296}",20,0,25.548248004904654,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
627,False,"{'a': 0.1, 'e': 0.043159025252331236}",25,7,29.56755833446104,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.1, 'e': 0.04294323012606958}",20,13,11.4293353433012,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.1, 'e': 0.04272851397543923}",20,11,18.142254466582113,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.1, 'e': 0.04251487140556204}",20,0,22.056716235124483,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
631,False,"{'a': 0.1, 'e': 0.04230229704853423}",20,8,15.116717824662206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.1, 'e': 0.04209078556329156}",30,16,25.74365363556482,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.1, 'e': 0.0418803316354751}",35,16,-10.810531534147204,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
634,False,"{'a': 0.1, 'e': 0.041670929977297724}",30,11,39.89544673829,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
635,False,"{'a': 0.1, 'e': 0.04146257532741124}",20,13,14.983236976603957,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.1, 'e': 0.04125526245077418}",30,19,23.340737359254767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.1, 'e': 0.04104898613852031}",20,12,13.19782617459039,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
